127.0.0.1 - - [14/Oct/2017:20:05:08 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/ HTTP/1.1" 200 52532
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/dist/css/AdminLTE.min.css HTTP/1.1" 200 106344
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 41583
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/morris.js/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/dist/img/user3-128x128.jpg HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/dist/img/user2-160x160.jpg HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 240427
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/raphael/raphael.min.js HTTP/1.1" 200 93251
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/morris.js/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 200 62647
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 200 144313
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 200 33323
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/jquery-knob/dist/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/moment/min/moment.min.js HTTP/1.1" 200 51465
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 200 69588
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/bower_components/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js HTTP/1.1" 200 33529
0:0:0:0:0:0:0:1 - - [14/Oct/2017:20:05:48 +0530] "GET /SmartCol/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js HTTP/1.1" 200 210932
